id,type,data
11,4,"[[120,4,0],[121,3,1]]"
12,0,"[[159,0,0],[160,0,0],[161,0,0],[162,0,0],[163,0,0]]"
13,1,"[[124,0,0],[125,0,0],[126,0,0],[127,0,0],[128,0,0],[129,0,0],[130,0,0],[131,0,0],[132,0,0],[133,0,0],[134,0,0],[135,0,0],[136,0,0],[137,0,0],[138,0,0],[139,0,0],[140,0,0],[141,0,0],[142,0,0],[143,0,0]]"
14,2,"[[144,1,0],[145,0,0],[146,0,0],[147,0,0],[148,0,0],[149,0,0],[150,0,0],[151,0,0],[152,0,0],[153,0,0],[154,0,0],[155,0,0],[156,0,0],[157,0,0],[158,0,0]]"
15,4,"[[164,1,1],[164,3,1]]"
16,0,"[[200,-4,-7],[201,-1,-6],[202,-1,-5],[203,-3,-8],[204,-2,-7]]"
17,1,"[[165,-9,-6],[166,-7,0],[167,-6,-2],[168,-13,0],[169,-7,-7],[170,-10,-6],[171,-14,-5],[172,-3,-4],[173,-10,-3],[174,-12,-1],[175,-8,-2],[176,-5,-2],[177,-8,-5],[178,-7,-3],[179,-8,-5],[180,-3,-2],[181,-11,-5],[182,-11,-4],[183,-8,-3],[184,-6,-6]]"
18,2,"[[185,0,2],[186,0,3],[187,-9,5],[188,-7,5],[189,-7,6],[190,-4,3],[191,-2,3],[192,0,6],[193,3,6],[194,3,6],[195,8,7],[196,0,-4],[197,4,-1],[198,-4,4],[199,-5,0]]"
19,4,"[[205,-1,-5],[206,0,-8]]"
20,0,"[[242,0,0],[243,0,0],[244,0,-3],[245,0,-2],[246,0,0]]"
21,1,"[[207,0,1],[208,-2,1],[209,0,-1],[210,-1,1],[211,-2,1],[212,-2,-1],[213,-4,-1],[214,-2,0],[215,-4,-1],[216,-3,-1],[217,-3,1],[218,-2,0],[219,0,0],[220,0,0],[221,-1,0],[222,0,-1],[223,-2,0],[224,-1,0],[225,-1,1],[226,-2,0]]"
22,2,"[[227,0,0],[228,0,0],[229,0,0],[230,0,0],[231,0,0],[232,0,0],[233,0,0],[234,0,0],[235,0,0],[236,0,0],[237,0,0],[238,0,0],[239,0,0],[240,0,0],[241,0,0]]"
23,4,"[[247,4,-4],[247,3,-2]]"
24,5,"[[248,1,0],[249,1,0]]"
25,4,"[[250,3,-1],[251,3,-1]]"
26,1,"[[252,0,0],[253,0,0],[254,0,0],[255,0,0],[256,0,0],[257,0,0],[258,0,0],[259,0,0],[260,0,0],[261,0,0],[262,0,0],[263,0,0],[264,0,0],[265,0,0],[266,0,0],[267,0,0],[268,0,0],[269,0,0],[270,0,0],[271,0,0]]"
27,2,"[[272,0,0],[273,0,0],[274,-1,0],[275,0,0],[276,0,0],[277,0,0],[278,0,0],[279,0,0],[280,0,0],[281,0,0],[282,0,0],[283,0,0],[284,0,0],[285,0,0],[286,0,0]]"
28,5,"[[287,1,-1],[288,1,-1]]"
29,4,"[[289,3,13],[290,3,13]]"
30,1,"[[291,0,0],[292,0,0],[293,0,0],[294,0,0],[295,0,0],[296,0,0],[297,0,0],[298,0,0],[299,0,0],[300,0,0],[301,0,0],[302,0,0],[303,0,0],[304,0,0],[305,0,0],[306,0,0],[307,0,0],[308,0,0],[309,0,0],[310,0,0]]"
31,2,"[[311,1,0],[312,0,0],[313,-1,0],[314,0,0],[315,0,0],[316,0,0],[317,0,0],[318,0,0],[319,0,0],[320,0,0],[321,0,0],[322,0,0],[323,0,1],[324,0,0],[325,0,0]]"
32,5,"[[326,-1,-2],[327,-1,-2]]"
33,4,"[[328,4,-6],[329,1,-6]]"
34,1,"[[330,0,0],[331,0,0],[332,0,0],[333,0,0],[334,0,0],[335,0,0],[336,0,0],[337,0,0],[338,-1,0],[339,-1,0],[340,0,0],[341,0,0],[342,0,0],[343,0,0],[344,0,0],[345,0,0],[346,0,0],[347,0,0],[348,0,0],[349,0,0]]"
35,2,"[[350,2,0],[351,0,0],[352,0,0],[353,0,0],[354,0,0],[355,1,0],[356,0,0],[357,0,0],[358,0,0],[359,1,0],[360,0,0],[361,0,0],[362,0,1],[363,0,1],[364,0,0]]"
36,5,"[[365,2,1],[366,2,1]]"
37,4,"[[367,3,1],[368,3,1]]"
38,1,"[[369,0,0],[370,0,0],[371,0,0],[372,0,0],[373,0,0],[374,0,0],[375,0,0],[376,0,0],[377,0,0],[378,0,0],[379,0,0],[380,0,0],[381,0,0],[382,0,0],[383,0,0],[384,0,0],[385,0,0],[386,0,0],[387,0,0],[388,0,0]]"
39,2,"[[389,1,0],[390,0,0],[391,-1,0],[392,0,0],[393,0,0],[394,0,0],[395,0,0],[396,1,0],[397,1,0],[398,2,0],[399,1,-1],[400,0,0],[401,0,1],[402,0,0],[403,-1,0]]"
40,5,"[[404,2,-1],[405,2,-1]]"
41,5,"[[406,0,0],[407,1,-1]]"
42,4,"[[408,3,3],[409,3,3]]"
43,1,"[[410,0,0],[411,0,0],[412,0,0],[413,0,0],[414,0,0],[415,0,0],[416,0,0],[417,0,0],[418,0,0],[419,0,0],[420,0,0],[421,0,0],[422,0,0],[423,0,0],[424,0,0],[425,0,0],[426,0,0],[427,0,0],[428,0,0],[429,0,0]]"
44,2,"[[430,0,0],[431,0,0],[432,0,0],[433,0,0],[434,0,0],[435,0,0],[436,-1,0],[437,0,0],[438,0,0],[439,0,0],[440,0,-1],[441,0,0],[442,0,0],[443,0,0],[444,-1,0]]"
45,5,"[[445,1,0],[446,1,0]]"
46,4,"[[447,4,8],[448,5,8]]"
47,1,"[[449,0,0],[450,0,0],[451,0,0],[452,0,0],[453,0,0],[454,0,0],[455,0,0],[456,0,0],[457,0,0],[458,0,0],[459,0,0],[460,0,0],[461,0,0],[462,0,0],[463,0,0],[464,0,0],[465,0,0],[466,0,0],[467,0,0],[468,0,0]]"
48,2,"[[469,0,0],[470,0,0],[471,-1,0],[472,0,0],[473,0,0],[474,0,0],[475,0,0],[476,0,0],[477,0,0],[478,0,0],[479,0,0],[480,0,0],[481,0,1],[482,0,0],[483,-1,0]]"
49,5,"[[484,1,-1],[485,2,-1]]"
50,4,"[[486,1,-3],[487,1,-3]]"
51,1,"[[488,0,0],[489,0,0],[490,0,0],[491,0,0],[492,0,0],[493,0,0],[494,0,0],[495,0,0],[496,0,0],[497,0,0],[498,0,0],[499,0,0],[500,0,0],[501,0,0],[502,0,0],[503,0,0],[504,0,0],[505,0,0],[506,0,0],[507,0,0]]"
52,2,"[[508,1,0],[509,0,0],[510,-1,0],[511,0,0],[512,0,0],[513,0,0],[514,0,0],[515,0,0],[516,0,0],[517,0,0],[518,0,0],[519,0,0],[520,0,1],[521,0,0],[522,0,0]]"
53,5,"[[523,2,0],[524,2,0]]"
54,4,"[[525,2,3],[526,3,3]]"
55,1,"[[527,0,0],[528,0,0],[529,0,0],[530,0,0],[531,0,0],[532,0,0],[533,0,0],[534,0,0],[535,-1,0],[536,-1,0],[537,0,0],[538,0,0],[539,0,0],[540,0,0],[541,0,0],[542,0,0],[543,0,0],[544,0,0],[545,0,0],[546,0,0]]"
56,2,"[[547,1,0],[548,0,0],[549,-1,0],[550,0,0],[551,0,0],[552,0,0],[553,0,0],[554,0,0],[555,0,0],[556,0,0],[557,0,0],[558,0,0],[559,0,0],[560,0,0],[561,0,0]]"
57,5,"[[562,2,1],[563,2,1]]"
58,4,"[[564,3,-2],[565,3,-2]]"
59,1,"[[566,0,0],[567,0,0],[568,0,0],[569,0,0],[570,0,0],[571,0,0],[572,0,0],[573,0,0],[574,0,0],[575,0,0],[576,0,0],[577,0,0],[578,0,0],[579,0,0],[580,0,0],[581,0,0],[582,0,0],[583,0,0],[584,0,0],[585,0,0]]"
60,2,"[[586,1,0],[587,0,0],[588,-1,0],[589,0,0],[590,0,0],[591,0,0],[592,0,0],[593,1,0],[594,1,0],[595,2,0],[596,1,-1],[597,0,0],[598,0,1],[599,0,0],[600,-1,0]]"
61,3,"[[601,-5,2],[79,-1,21],[602,-8,23],[603,-1,-4],[603,-1,-4],[604,8,12],[605,3,-8],[605,3,-14],[605,3,-14],[606,-6,7],[606,-39,0],[606,-48,-15],[607,21,-2],[609,7,7],[610,14,6],[79,0,0],[611,-3,-2],[611,-4,-2],[79,-13,10],[79,-9,21],[605,5,-15],[612,2,-13],[79,0,0],[79,0,0]]"
62,3,"[[613,21,0],[614,20,2],[614,16,1],[614,18,0],[614,19,0],[614,18,0],[614,26,8],[614,27,2],[614,26,1],[614,22,-8],[614,3,-9],[614,-4,-21],[614,15,19],[614,9,20],[614,-2,9],[614,-3,-21],[614,22,-1],[614,21,-1],[614,29,2],[614,21,6],[614,32,2],[614,26,7],[615,-4,1],[616,-4,5]]"
63,3,"[[617,-5,12],[79,25,13],[617,-4,15],[621,0,-1],[621,-1,-1],[618,31,15],[617,-4,17],[617,-4,11],[617,-4,11],[617,1,3],[617,-32,-2],[617,-39,-17],[623,19,3],[623,14,4],[622,14,15],[79,0,0],[79,0,0],[79,0,0],[617,-3,7],[621,4,1],[624,-4,9],[621,5,1],[79,0,0],[79,0,0]]"
64,3,"[[625,-3,20],[626,24,16],[79,1,22],[627,-3,-2],[627,-3,-2],[626,32,16],[628,-6,15],[628,-6,9],[628,-6,9],[79,0,0],[79,0,0],[79,0,0],[626,19,34],[629,0,-4],[630,5,16],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[631,-8,13],[632,-3,4],[79,0,0],[79,0,0]]"
65,0,"[[666,-2,-3],[667,-2,-3],[668,-1,-2],[669,-2,-4],[670,-1,-4]]"
66,2,"[[651,0,0],[652,0,0],[653,0,0],[654,0,0],[655,0,0],[656,0,0],[657,1,0],[658,0,0],[659,0,1],[660,2,0],[661,0,0],[662,0,1],[663,2,2],[664,1,3],[665,-3,0]]"
67,1,"[[671,0,0],[634,-1,0],[635,0,0],[636,0,0],[637,-3,0],[638,-1,0],[639,-2,0],[640,-2,0],[641,0,0],[642,0,0],[643,0,0],[644,0,0],[645,1,0],[646,2,0],[647,-2,0],[648,0,0],[649,0,0],[673,0,0],[672,0,0],[650,0,0]]"
68,0,"[[707,0,-12],[708,0,-11],[709,-1,-9],[710,-2,-10],[711,6,-11]]"
69,2,"[[692,1,-10],[693,-1,-7],[694,-4,-8],[695,-7,-6],[696,-9,-6],[697,-3,-7],[698,-6,-4],[699,-5,-9],[700,1,-7],[701,-1,-7],[702,0,-7],[703,-5,-5],[704,-5,-9],[705,-2,-8],[706,-4,-9]]"
70,1,"[[674,-8,-16],[675,2,-13],[676,-5,-13],[677,-13,-12],[678,-6,-12],[679,-10,-12],[680,-4,-16],[681,-1,-13],[682,-6,-13],[683,-5,-21],[684,-5,-13],[685,-4,-15],[686,-1,-14],[687,-3,-13],[688,-6,-14],[689,-7,-11],[690,-19,-13],[712,-18,-15],[713,-7,-14],[691,-6,-14]]"
71,0,"[[749,0,-1],[750,0,-1],[751,0,-1],[752,0,-1],[753,-1,-2]]"
72,2,"[[734,0,0],[735,0,0],[736,0,-1],[737,0,0],[738,0,0],[739,0,0],[740,0,-1],[741,-1,0],[742,0,0],[743,0,0],[744,-1,0],[745,0,0],[746,0,0],[747,0,0],[748,-1,0]]"
73,1,"[[714,0,0],[715,0,0],[716,0,0],[717,0,0],[718,0,0],[719,0,0],[720,0,0],[721,0,0],[722,0,0],[723,0,1],[724,0,0],[725,0,0],[726,0,0],[727,0,0],[728,0,0],[729,0,0],[730,0,0],[731,0,0],[732,0,0],[733,0,0]]"
74,0,"[[789,-2,-11],[790,-1,-9],[791,-2,-9],[792,-2,-10],[793,-2,-10]]"
75,2,"[[774,0,-7],[775,9,-9],[776,-1,-7],[777,-3,-4],[778,2,-6],[779,-2,-3],[780,0,-6],[781,4,-7],[782,11,-8],[783,11,-8],[784,3,-5],[785,0,-5],[786,-1,-4],[787,0,-5],[788,2,-5]]"
76,1,"[[754,-5,-11],[755,-5,-9],[756,-3,-10],[757,-1,-6],[758,-1,-10],[759,-1,-8],[760,-2,-12],[761,-2,-9],[762,-5,-9],[763,-5,-9],[764,-5,-7],[765,-3,-8],[766,-5,-8],[767,-6,-8],[768,-3,-10],[769,-2,-6],[770,-3,-10],[771,-2,-6],[772,-2,-9],[773,-2,-10]]"
77,0,"[[829,0,-1],[830,0,0],[831,0,0],[832,0,0],[833,3,-1]]"
78,2,"[[814,-1,0],[815,0,0],[816,-2,0],[817,0,0],[818,-1,0],[819,0,0],[820,0,0],[821,-1,-1],[822,-1,0],[823,-1,0],[824,2,0],[825,2,0],[826,2,0],[827,2,0],[828,-1,0]]"
79,1,"[[794,2,-4],[795,-2,-3],[796,-2,-4],[797,0,-3],[798,-2,-4],[799,0,-1],[800,-3,-2],[801,2,-3],[802,-1,-1],[803,-1,-1],[804,-3,-2],[805,-3,-2],[806,2,-5],[807,3,-3],[808,0,-3],[809,0,-2],[810,-1,-3],[811,-1,-1],[812,-1,-3],[813,0,-2]]"
80,4,"[[834,0,-4],[835,3,-3]]"
81,3,"[[1912,-27,-13],[1919,28,-13],[1914,-27,-1],[1915,-17,-22],[1915,-17,-21],[1917,31,5],[1913,-27,-13],[1913,-26,-18],[1913,-26,-20],[1919,30,-20],[1918,-62,-2],[1918,-59,-14],[1916,23,31],[1919,8,-23],[1919,18,-11],[1918,-56,-13],[1912,-23,-18],[1912,-22,-17],[1919,38,-14],[1919,29,-10],[1914,-37,-10],[1913,-28,-23],[1912,-10,-27],[1912,-11,-26]]"
82,0,"[[880,-2,-19],[881,1,-21],[882,-2,-18],[883,-2,-19],[884,2,-19]]"
83,2,"[[865,-6,-10],[866,-2,-9],[867,-4,-9],[868,-3,-10],[869,-2,-10],[870,-4,-11],[871,-7,-11],[872,-7,-9],[873,-8,-9],[874,-7,-11],[875,2,-9],[876,-7,-10],[877,-6,-10],[878,-1,-12],[879,0,-11]]"
84,1,"[[845,-10,-18],[846,-6,-19],[847,-2,-20],[848,-8,-22],[849,-6,-18],[850,-10,-20],[851,-6,-24],[852,-4,-22],[853,-5,-25],[854,-6,-26],[855,-5,-22],[856,-5,-22],[857,-13,-19],[858,-16,-19],[859,-6,-19],[860,-3,-22],[861,-7,-20],[862,-9,-21],[863,-1,-22],[864,-2,-22]]"
85,0,"[[920,-4,-5],[921,-2,-4],[922,-5,-4],[923,-6,-6],[924,0,-6]]"
86,2,"[[905,0,0],[906,-1,0],[907,-2,0],[908,0,0],[909,0,0],[910,1,0],[911,0,0],[912,0,0],[913,-1,0],[914,0,0],[915,-1,0],[916,0,0],[917,0,1],[918,0,0],[919,0,0]]"
87,1,"[[885,1,-3],[886,-2,-1],[887,0,-3],[888,0,-1],[889,0,-1],[890,1,-1],[891,-2,-2],[892,0,-1],[893,-2,-1],[894,-1,0],[895,-2,-1],[896,0,-1],[897,-1,-3],[898,0,-1],[899,1,-1],[900,0,-1],[901,1,-1],[902,-2,-2],[903,0,-3],[904,-2,-3]]"
88,3,"[[925,-16,-1],[929,-10,-14],[926,-12,13],[927,-5,-5],[927,-6,-5],[928,25,-11],[929,-7,-7],[929,-7,-12],[929,-7,-12],[926,-10,0],[930,-44,-15],[930,-48,-28],[931,7,-8],[932,-3,0],[933,9,-11],[930,-50,-32],[934,-9,-17],[934,-11,-17],[935,3,-22],[929,-8,-15],[925,-18,-3],[929,-9,-14],[926,-1,-4],[929,-5,-19]]"
89,0,"[[974,-2,-7],[975,-2,-7],[976,-1,-7],[977,-2,-7],[978,2,-7]]"
90,2,"[[957,-1,-7],[958,-2,-3],[959,-2,-5],[960,-2,-5],[961,-1,-6],[962,0,-3],[963,0,-2],[964,-2,-5],[965,0,-4],[966,0,-3],[967,2,-5],[968,2,-7],[969,-1,-7],[970,1,-5],[971,-4,-8]]"
91,1,"[[937,0,-10],[938,-1,-6],[939,-3,-7],[940,-1,-9],[941,-3,-6],[942,1,-9],[943,-2,-8],[944,-1,-7],[945,-3,-7],[946,-1,-9],[947,-2,-7],[948,-2,-8],[949,-1,-10],[950,-2,-9],[951,0,-9],[952,0,-8],[953,-2,-7],[954,-1,-7],[955,1,-8],[956,0,-7]]"
92,4,"[[972,-3,-9],[973,1,-6]]"
93,0,"[[1014,0,-5],[1015,2,-4],[1016,0,-5],[1017,-1,-3],[1018,3,-5]]"
94,2,"[[999,1,-7],[1000,0,-4],[1001,-2,-3],[1002,0,-3],[1003,0,-4],[1004,0,-3],[1005,0,-2],[1006,0,-2],[1007,0,-2],[1008,0,-4],[1009,2,-6],[1010,2,-7],[1011,1,-8],[1012,2,-11],[1013,0,-5]]"
95,1,"[[979,0,-5],[980,-1,-4],[981,0,-5],[982,2,-8],[983,0,-5],[984,0,-4],[985,0,-6],[986,2,-5],[987,0,-4],[988,1,-5],[989,0,-5],[990,0,-7],[991,2,-4],[992,1,-6],[993,3,-4],[994,0,-4],[995,0,-4],[996,1,-4],[997,0,-7],[998,1,-6]]"
96,0,"[[1054,3,-20],[1055,3,-21],[1056,3,-21],[1057,3,-20],[1058,3,-21]]"
97,2,"[[1039,0,0],[1040,0,0],[1041,0,0],[1042,0,0],[1043,0,0],[1044,-1,0],[1045,-1,0],[1046,0,0],[1047,0,0],[1048,1,0],[1049,3,0],[1050,4,1],[1051,9,0],[1052,2,-1],[1053,-1,-1]]"
98,1,"[[1019,-4,-18],[1020,-3,-14],[1021,-5,-16],[1022,3,-16],[1023,-3,-16],[1024,-5,-16],[1025,-1,-22],[1026,2,-16],[1027,-9,-22],[1028,-8,-24],[1029,-4,-20],[1030,1,-21],[1031,-1,-19],[1032,0,-17],[1033,-2,-18],[1034,1,-22],[1035,-8,-20],[1036,-3,-20],[1037,-3,-18],[1038,1,-19]]"
99,0,"[[1094,1,-3],[1095,2,-2],[1096,1,-2],[1097,1,-2],[1098,1,-3]]"
100,2,"[[1079,1,0],[1080,0,0],[1081,0,0],[1082,0,0],[1083,0,0],[1084,0,0],[1085,0,0],[1086,0,0],[1087,0,0],[1088,0,0],[1089,0,0],[1090,0,0],[1091,0,0],[1092,0,0],[1093,0,0]]"
101,1,"[[1059,1,-1],[1060,-1,0],[1061,-1,-1],[1062,0,0],[1063,0,0],[1064,0,-1],[1065,0,0],[1066,-1,-1],[1067,0,-1],[1068,0,0],[1069,0,-1],[1070,0,-1],[1071,2,-1],[1072,-1,-1],[1073,1,-2],[1074,1,1],[1075,0,0],[1076,0,0],[1077,1,-1],[1078,0,-1]]"
102,3,"[[1099,5,17],[1100,-10,7],[1101,-11,15],[1102,-7,-2],[1102,-6,-2],[1103,-8,-4],[1116,-7,-1],[1116,-8,-8],[1116,-9,-8],[1101,-9,0],[1105,-34,-17],[1106,-45,-24],[1107,15,-14],[1108,-1,-15],[1109,-1,14],[1110,-40,-17],[1111,3,9],[1111,-2,9],[79,-10,2],[79,-5,0],[79,-6,-3],[79,-5,-2],[79,-7,-11],[79,-10,-10]]"
103,3,"[[1117,1,15],[1118,-11,9],[1119,-7,4],[1120,-4,6],[1120,-5,6],[1121,-6,-3],[1122,-9,-1],[1122,-8,-7],[1122,-9,-7],[1119,-1,-5],[1124,-34,-2],[1125,-43,-19],[1126,16,-7],[1127,-2,-10],[1128,9,-2],[1129,-43,-18],[1130,9,12],[1130,8,9],[1131,-6,10],[1135,-11,1],[1132,-9,0],[1133,-8,-5],[1134,-1,-18],[1135,-3,-6]]"
104,0,"[[1171,-1,-11],[1172,0,-8],[1173,-1,-8],[1174,-1,-8],[1175,2,-11]]"
105,2,"[[1156,-2,-6],[1157,-2,-4],[1158,-2,-4],[1159,-3,-4],[1160,-2,-4],[1161,0,-5],[1162,1,-2],[1163,1,-4],[1164,2,-2],[1165,2,-4],[1166,2,-5],[1167,-1,-6],[1168,2,-6],[1169,0,-6],[1170,2,-5]]"
106,1,"[[1136,-6,-10],[1137,-4,-8],[1138,-4,-10],[1139,-2,-12],[1140,0,-11],[1141,-1,-7],[1142,-2,-9],[1143,-3,-11],[1144,-3,-4],[1145,-2,-6],[1146,-2,-6],[1147,-4,-9],[1148,-8,-8],[1149,-8,-8],[1150,1,-9],[1151,-1,-8],[1152,-1,-7],[1153,-3,-5],[1154,0,-9],[1155,-5,-10]]"
107,0,"[[1211,1,0],[1212,-1,0],[1213,1,-2],[1214,0,-2],[1215,3,-3]]"
108,2,"[[1196,0,0],[1197,0,0],[1198,0,0],[1199,0,0],[1200,0,0],[1201,0,0],[1202,0,0],[1203,0,0],[1204,0,0],[1205,0,0],[1206,0,0],[1207,0,0],[1208,0,0],[1209,0,0],[1210,0,0]]"
109,1,"[[1176,0,0],[1177,0,0],[1178,0,0],[1179,0,0],[1180,0,0],[1181,0,0],[1182,0,0],[1183,0,0],[1184,0,0],[1185,0,0],[1186,0,0],[1187,0,0],[1188,0,0],[1189,0,0],[1190,0,0],[1191,0,0],[1192,0,0],[1193,0,0],[1194,0,0],[1195,0,0]]"
110,0,"[[1251,-5,-22],[1252,-8,-21],[1253,-8,-22],[1254,-6,-27],[1255,-4,-23]]"
111,2,"[[1236,2,-2],[1237,0,0],[1238,0,0],[1239,0,0],[1240,0,0],[1241,0,0],[1242,0,0],[1243,0,0],[1244,0,0],[1245,0,0],[1246,0,0],[1247,0,0],[1248,0,0],[1249,0,0],[1250,0,0]]"
112,1,"[[1216,-14,-25],[1217,-13,-12],[1218,-8,-13],[1219,-11,-15],[1220,-16,-13],[1221,-13,-15],[1222,-15,-13],[1223,-17,-12],[1224,-6,-20],[1225,-8,-18],[1226,-8,-13],[1227,-22,-11],[1228,-17,-24],[1229,-15,-23],[1230,-10,-14],[1231,-9,-18],[1232,-13,-13],[1233,-16,-19],[1234,-4,-14],[1235,-7,-17]]"
113,0,"[[1291,0,-7],[1292,0,-7],[1293,-1,-6],[1294,-1,-8],[1295,2,-6]]"
114,2,"[[1276,0,-2],[1277,1,-2],[1278,0,-3],[1279,-2,-2],[1280,-3,-2],[1281,1,-2],[1282,0,-2],[1283,0,-2],[1284,-1,-2],[1285,-1,-3],[1286,4,-4],[1287,0,-4],[1288,1,-4],[1289,3,-6],[1290,2,-4]]"
115,1,"[[1256,-1,-7],[1257,-2,-6],[1258,1,-7],[1259,0,-5],[1260,-1,-6],[1261,0,-6],[1262,-2,-5],[1263,1,-4],[1264,-1,-8],[1265,-1,-5],[1266,-3,-5],[1267,-1,-6],[1268,0,-6],[1269,0,-6],[1270,-1,-6],[1271,2,-6],[1272,-2,-8],[1273,-1,-7],[1274,1,-7],[1275,0,-6]]"
116,0,"[[1331,-1,-17],[1332,0,-19],[1333,-1,-19],[1334,-4,-22],[1335,4,-16]]"
117,2,"[[1316,-3,-5],[1317,-6,-4],[1318,-3,-4],[1319,-3,-5],[1320,-3,-4],[1321,-1,-4],[1322,-1,-5],[1323,-3,-4],[1324,-4,-4],[1325,-3,-4],[1326,2,-5],[1327,-2,-6],[1328,3,-4],[1329,-1,-8],[1330,-4,-5]]"
118,1,"[[1296,-10,-16],[1297,-5,-14],[1298,-5,-16],[1299,-11,-27],[1300,-9,-21],[1301,-12,-18],[1302,-9,-14],[1303,-3,-15],[1304,-6,-26],[1305,-6,-28],[1306,-4,-22],[1307,-17,-21],[1308,-4,-17],[1309,-6,-15],[1310,-8,-18],[1311,-5,-20],[1312,-14,-17],[1313,-12,-20],[1314,-9,-16],[1315,-9,-17]]"
119,0,"[[1372,-8,-20],[1373,-5,-23],[1374,-5,-22],[1375,-6,-22],[1376,0,-23]]"
120,2,"[[1357,-3,-12],[1358,-5,-10],[1359,0,-13],[1360,-6,-10],[1361,-5,-12],[1362,-1,-13],[1363,0,-10],[1364,-5,-11],[1365,-3,-9],[1366,-1,-10],[1367,4,-10],[1368,2,-12],[1369,3,-11],[1370,4,-14],[1371,1,-10]]"
121,1,"[[1337,-9,-31],[1338,-5,-28],[1339,-3,-32],[1340,-15,-28],[1341,-7,-29],[1342,-12,-29],[1343,-9,-32],[1344,-5,-35],[1345,-3,-28],[1346,-4,-30],[1347,-5,-29],[1348,-14,-32],[1349,-4,-34],[1350,-4,-33],[1351,-6,-35],[1352,-7,-29],[1353,-12,-34],[1354,-11,-31],[1355,-6,-36],[1356,-5,-36]]"
122,0,"[[1412,-2,-8],[1413,1,-9],[1414,-1,-13],[1415,-3,-12],[1416,1,-11]]"
123,2,"[[1397,0,-1],[1398,0,0],[1399,-2,0],[1400,-3,0],[1401,-1,-1],[1402,-3,-1],[1403,-1,0],[1404,0,0],[1405,0,0],[1406,0,0],[1407,7,0],[1408,2,0],[1409,0,0],[1410,4,0],[1411,-1,0]]"
124,1,"[[1377,-4,-5],[1378,-1,-6],[1379,-1,-5],[1380,-3,-8],[1381,-4,-3],[1382,-3,-7],[1383,-6,-5],[1384,2,-5],[1385,-5,-10],[1386,-5,-10],[1387,-2,-6],[1388,-2,-5],[1389,0,-8],[1390,-3,-7],[1391,-5,-7],[1392,-3,-7],[1393,-4,-6],[1394,-4,-6],[1395,-1,-8],[1396,-2,-8]]"
125,0,"[[1452,0,-2],[1453,0,-2],[1454,0,-2],[1455,0,-3],[1456,0,-2]]"
126,2,"[[1437,1,0],[1438,0,0],[1439,0,0],[1440,0,0],[1441,0,0],[1442,0,0],[1443,0,0],[1444,0,0],[1445,0,0],[1446,1,0],[1447,0,0],[1448,0,0],[1449,0,0],[1450,0,0],[1451,0,0]]"
