id,name,icon,indexInfoPotion,price,priceruby,istrade,hpmpother,timedelay,value,timeactive,nameuse
70,Đá Saphia cấp 3,50,46,0,0,1,12,0,1,0,
71,Đá Saphia cấp 4,51,47,0,0,1,12,0,1,0,
72,Đá Saphia cấp 5,52,48,0,0,1,12,0,1,0,
73,Đá Saphia cấp 6,53,49,0,0,1,12,0,1,0,
74,Thạch anh tím cấp 1,54,50,0,2,1,12,0,3,0,
75,Thạch anh tím cấp 2,55,51,0,0,1,12,0,3,0,
76,Thạch anh tím cấp 3,56,52,0,0,1,12,0,3,0,
77,Thạch anh tím cấp 4,57,53,0,0,1,12,0,3,0,
78,Thạch anh tím cấp 5,58,54,0,0,1,12,0,3,0,
79,Thạch anh tím cấp 6,59,55,0,0,1,12,0,3,0,
80,Kinh nghiệm X2,60,56,0,3,1,13,0,0,0,Sử dụng
81,Lọ hồi sức 25%,61,57,0,0,1,14,2000,0,0,Sử dụng
82,Lọ hồi sức 50%,62,58,0,0,1,14,3000,0,0,Sử dụng
83,Lọ hồi sức 100%,63,59,0,0,1,14,4000,0,0,Sử dụng
84,Tượng khỉ vàng,64,60,0,0,1,15,0,0,0,Sử dụng
85,Súp baratie,65,61,80,0,1,1,5000,400,2000,Sử dụng
86,Trái Ác Quỷ,66,10,0,0,1,7,0,0,0,Ăn
87,Trái Ác Quỷ Trung Cấp,67,10,0,0,1,7,0,0,0,Ăn
88,Trái Khói,68,10,0,0,1,7,0,0,0,Ăn
89,Vé Hồi Sinh,69,62,0,3,1,16,0,0,0,Sử dụng
90,Trái bò tót,80,10,0,0,1,7,0,0,0,Ăn
91,Trái vẽ vẽ,81,10,0,0,1,7,0,0,0,Ăn
92,Trái băng,82,10,0,0,1,7,0,0,0,Ăn
93,Trái cát,83,10,0,0,1,7,0,0,0,Ăn
94,Bùa cuồng phong,84,63,0,0,1,17,0,0,0,Sử dụng
95,Bùa hồi sức băng,85,64,0,0,1,17,0,0,0,Sử dụng
96,Vỏ chuối khổng lồ,86,65,0,0,1,17,0,0,0,Sử dụng
97,Bình rượu vàng,87,66,0,0,1,17,0,0,0,Sử dụng
98,Miếng thịt khổng lồ,88,67,0,0,1,17,0,0,0,Sử dụng
99,Thùng rượu ,89,68,0,0,1,18,0,0,0,Sử dụng
100,Thịt khủng long,90,69,0,0,1,18,0,0,0,Sử dụng
101,Thẻ XP đấu trường,95,70,0,5,1,19,0,0,0,Sử dụng
102,XP x2 Phó bảng,96,71,0,0,1,20,0,0,0,
103,Phiếu giảm 20%,97,72,0,0,1,21,0,0,0,
104,Phiếu giảm 50%,98,73,0,0,1,21,0,0,0,
105,Rương báu vật ,99,74,0,0,1,22,0,0,0,Mở rương
106,Rương huyền thoại,100,75,0,0,1,23,0,0,0,Mở rương
107,Đèn cầy,101,76,0,0,1,24,0,0,0,Sử dụng
108,Que Diêm,102,76,0,0,1,24,0,0,0,Sử dụng
109,Nang Tre,103,256,0,0,1,24,0,0,0,Sử dụng
110,Giấy Dán,104,256,0,0,0,24,0,0,0,Sử dụng
111,Lồng Đen,105,76,0,0,1,24,0,0,0,Sử dụng
112,Rương Đồ Cam Lv10,99,74,0,0,1,22,0,0,0,Mở rương
113,Rương Đồ Cam Lv20,99,74,0,0,1,22,0,0,0,Mở rương
114,Rương Đồ Cam Lv30,99,74,0,0,1,22,0,0,0,Mở rương
115,Rương Đồ Cam Lv40,99,74,0,0,1,22,0,0,0,Mở rương
116,Rương Đồ Cam Lv50,99,74,0,0,1,22,0,0,0,Mở rương
117,Rương Đồ Cam Lv60,99,74,0,0,1,22,0,0,0,Mở rương
118,Rương Đồ Cam Lv70,99,74,0,0,1,22,0,0,0,Mở rương
119,Rương Đồ Cam Lv80,99,74,0,0,1,22,0,0,0,Mở rương
120,Rương Đồ Cam Lv90,99,74,0,0,1,22,0,0,0,Mở rương
121,Rương Đồ Cam Lv100,99,74,0,0,1,22,0,0,0,Mở rương
122,Rương Cam Cùng Hệ Lv10,100,75,0,0,1,23,0,0,0,Mở rương
123,Rương Cam Cùng Hệ Lv20,100,75,0,0,1,23,0,0,0,Mở rương
124,Rương Cam Cùng Hệ Lv30,100,75,0,0,1,23,0,0,0,Mở rương
125,Rương Cam Cùng Hệ Lv40,100,75,0,0,1,23,0,0,0,Mở rương
126,Rương Cam Cùng Hệ Lv50,100,75,0,0,1,23,0,0,0,Mở rương
127,Rương Cam Cùng Hệ Lv60,100,75,0,0,1,23,0,0,0,Mở rương
128,Rương Cam Cùng Hệ Lv70,100,75,0,0,1,23,0,0,0,Mở rương
129,Rương Cam Cùng Hệ Lv80,100,75,0,0,1,23,0,0,0,Mở rương
130,Rương Cam Cùng Hệ Lv90,100,75,0,0,1,23,0,0,0,Mở rương
131,Rương Cam Cùng Hệ Lv100,100,75,0,0,1,23,0,0,0,Mở rương
132,Vé đổi đồ thời trang,106,77,0,0,1,25,0,0,0,Mở rương
133,Vé kinh nghiệm đặc biệt,107,78,0,0,1,26,0,0,0,Mở rương
134,Đá Ác Quỷ,108,79,0,0,1,27,0,0,0,
135,Tinh thể đá,109,80,0,0,1,28,0,0,0,
136,Rương tím,110,81,0,0,1,29,0,0,0,Mở rương
137,Rương tím Lv10,110,81,0,0,1,29,0,0,0,Mở rương
138,Rương tím Lv20,110,81,0,0,1,29,0,0,0,Mở rương
139,Rương tím Lv30,110,81,0,0,1,29,0,0,0,Mở rương
140,Rương tím Lv40,110,81,0,0,1,29,0,0,0,Mở rương
141,Rương tím Lv50,110,81,0,0,1,29,0,0,0,Mở rương
142,Rương tím Lv60,110,81,0,0,1,29,0,0,0,Mở rương
143,Rương tím Lv70,110,81,0,0,1,29,0,0,0,Mở rương
144,Rương tím Lv80,110,81,0,0,1,29,0,0,0,Mở rương
145,Rương tím Lv90,110,81,0,0,1,29,0,0,0,Mở rương
146,Rương tím Lv100,110,81,0,0,1,29,0,0,0,Mở rương
147,Rương anh hùng,111,82,0,0,1,30,0,0,0,Mở rương
148,Rương anh hùng Lv10,111,82,0,0,1,30,0,0,0,Mở rương
149,Rương anh hùng Lv20,111,82,0,0,1,30,0,0,0,Mở rương
150,Rương anh hùng Lv30,111,82,0,0,1,30,0,0,0,Mở rương
151,Rương anh hùng Lv40,111,82,0,0,1,30,0,0,0,Mở rương
152,Rương anh hùng Lv50,111,82,0,0,1,30,0,0,0,Mở rương
153,Rương anh hùng Lv60,111,82,0,0,1,30,0,0,0,Mở rương
154,Rương anh hùng Lv70,111,82,0,0,1,30,0,0,0,Mở rương
155,Rương anh hùng Lv80,111,82,0,0,1,30,0,0,0,Mở rương
156,Rương anh hùng Lv90,111,82,0,0,1,30,0,0,0,Mở rương
157,Rương anh hùng Lv100,111,82,0,0,1,30,0,0,0,Mở rương
158,Rương đại ác quỷ,112,83,0,0,1,31,0,0,0,Mở rương
159,Xp Chiêu thức,113,84,0,0,1,32,0,0,0,Sử dụng
160,Trái sét,114,10,0,0,1,7,0,0,0,Ăn
161,Trái nham thạch,115,10,0,0,1,7,0,0,0,Ăn
162,Mảnh ghép *Cùng*,116,85,0,0,1,33,0,0,0,
163,Mảnh ghép *Vui*,117,85,0,0,1,33,0,0,0,
164,Mảnh ghép *Đón*,118,85,0,0,1,33,0,0,0,
165,Mảnh ghép *Tết*,119,85,0,0,1,33,0,0,0,
166,Mảnh ghép *2017*,120,85,0,0,1,33,0,0,0,
167,Huy hiệu tết 2017,121,86,0,0,1,34,0,0,0,
168,Vé triệu hồi quái tuyết,122,86,0,0,1,35,0,0,0,Sử dụng
169,Bao Lì Xì,124,86,0,0,1,36,0,0,0,Sử dụng
170,Rương Tết,125,87,0,0,1,37,0,0,0,Sử dụng
171,Hộp Quà 8.3,126,87,0,0,1,38,0,0,0,Sử dụng
172,Rương Vua Hùng,127,87,0,0,1,37,0,0,0,Mở rương
173,Cơm hộp hải tặc,128,88,0,3,1,1,5000,10000,2000,Sử dụng
174,Quả Conache,129,89,0,0,1,2,5000,12,2000,Sử dụng
175,Nước tăng lực,130,90,0,0,1,39,0,0,0,Sử dụng
176,Thuốc hồi sức,131,91,0,0,0,39,0,0,0,Sử dụng
177,Dược phẩm cứng cáp,132,92,0,0,0,39,0,0,0,Sử dụng
178,Vacxin kháng khuẩn,133,93,0,0,0,39,0,0,0,Sử dụng
179,Bản nhạc kích lệ,134,94,0,0,0,39,0,0,0,Sử dụng
180,Quả cầu pokemon thường,135,95,0,0,0,40,5000,0,0,Sử dụng
181,Quả cầu pokemon hiếm ,136,96,0,0,0,40,4000,0,0,Sử dụng
182,Quả cầu pokemon đặc biệt,137,97,0,0,0,40,2500,0,0,Sử dụng
183,Huy Hiệu Cỏ,138,98,0,0,0,41,0,0,0,
184,Huy Hiệu Lửa,139,98,0,0,0,41,0,0,0,
185,Huy Hiệu Nước,140,98,0,0,0,41,0,0,0,
186,Huy Hiệu Đá,141,98,0,0,0,41,0,0,0,
187,Huy hiệu Điện,142,98,0,0,0,41,0,0,0,
188,Huy hiệu đặc biệt,143,98,0,0,0,41,0,0,0,
189,Radar Tìm pokemon,144,99,0,0,0,42,0,0,0,Sử dụng
190,Bộ vật phẩm pokemon,145,100,0,0,0,43,0,0,0,Sử dụng
191,Vé triệu hồi Pokemon,146,101,0,0,0,44,0,0,0,Sử dụng
192,Vé về tuổi thơ,147,102,0,0,0,45,0,0,0,Sử dụng
193,Quả cầu băng hải tặc,148,97,0,0,0,40,2500,0,0,Sử dụng
194,Chim phương nam,150,103,0,5,1,46,0,0,0,
195,Giỏ bánh mì,149,104,0,0,1,47,0,0,0,
196,Cánh Hoa Phượng,151,105,0,0,0,48,0,0,0,
197,Phiếu giảm 500 ruby,152,106,0,0,0,21,0,0,0,
198,10 cánh hoa Phượng,151,107,0,0,0,49,0,0,0,
199,Bột Nếp,153,246,0,0,0,50,0,0,0,
200,Đường,154,108,0,0,0,50,0,0,0,
201,Đậu Xanh,155,246,0,0,0,50,0,0,0,
202,Bột Mì,156,108,0,0,0,50,0,0,0,
203,Trứng Muối,157,108,0,0,0,50,0,0,0,
204,Mứt Bí,158,108,0,0,0,50,0,0,0,
205,Khoai Môn,159,108,0,0,0,50,0,0,0,
206,Thịt,160,246,0,0,0,50,0,0,0,
207,Bánh Trung Thu,164,209,0,0,0,51,0,0,0,sử dụng
208,Bánh Đậu Xanh,161,210,0,0,0,51,0,0,0,sử dụng
209,Bánh Trứng Muối,162,211,0,0,0,51,0,0,0,sử dụng
210,Bánh Hạt Sen,362,212,0,0,0,51,0,0,0,sử dụng
211,Hộp Bánh Trung Thu,165,249,0,0,0,52,0,0,0,Sử dụng
212,Vé Ma Quỷ,166,111,0,0,0,53,0,0,0,Sử dụng
213,Hộp quà ma quái,167,112,0,0,0,54,0,0,0,Sử dụng
214,Vé tẩy tiềm năng,173,113,0,0,0,55,0,0,0,Sử dụng
215,Rương ma thuật,170,114,0,0,0,56,0,0,0,Sử dụng
216,Rương khổng lồ,169,114,0,0,0,56,0,0,0,Sử dụng
217,Rương Siêu ma thuật,171,114,0,0,0,56,0,0,0,Sử dụng
218,Rương thần thoại,172,114,0,0,0,56,0,0,0,Sử dụng
219,Trái Báo Đốm,174,10,0,0,1,7,0,0,0,Ăn
220,Trái Chim Ưng,175,10,0,0,1,7,0,0,0,Ăn
221,Đá Hải Thạch cấp 1,177,115,0,0,0,57,0,22,0,
222,Đá Hải Thạch cấp 2,178,115,0,0,0,57,0,20,0,
223,Đá Hải Thạch cấp 3,179,115,0,0,0,57,0,18,0,
224,Đá Hải Thạch cấp 4,180,115,0,0,0,57,0,16,0,
225,Đá Hải Thạch cấp 5,181,115,0,0,0,57,0,14,0,
226,Đá Hải Thạch cấp 6,182,115,0,0,0,57,0,1,0,
227,Hộp quà Noel,183,116,0,0,0,58,0,0,0,Sử dụng
228,Rương trang phục,184,314,0,0,0,59,0,0,0,Sử dụng
229,Vé đổi trang phục Noel,186,117,0,0,0,60,0,0,0,Sử dụng
230,Vé Noel,185,118,0,0,0,61,0,0,0,Sử dụng
231,Hộp quà sinh nhật,187,119,0,0,0,62,0,0,0,Sử dụng
232,Vé vòng xoay may mắn,203,120,0,15,0,63,0,0,0,
233,Khúc xương sụn,194,121,0,0,0,40,4000,0,0,Sử dụng
234,Khúc xương sườn,195,121,0,0,0,40,4000,0,0,Sử dụng
235,Khúc xương ống,196,121,0,0,0,40,4000,0,0,Sử dụng
236,Phong bao đỏ,190,122,0,0,0,64,0,0,0,
237,Nhánh mai vàng,191,122,0,0,0,64,0,0,0,
238,Cành Đào hồng,192,122,0,0,0,64,0,0,0,
239,Rương Tết 2018,193,122,0,0,0,65,0,0,0,Sử dụng
240,Trái Chấn Thiên,176,10,0,0,1,7,0,0,0,Ăn
241,Cẩm thạch - Topaz siêu cấp,210,123,0,0,1,66,0,1,0,
242,Cẩm thạch - Ruby siêu cấp,211,124,0,0,1,66,0,1,0,
243,Cẩm thạch - Ngọc siêu cấp,212,125,0,0,1,66,0,1,0,
244,Cẩm thạch - Saphia siêu cấp,213,126,0,0,1,66,0,1,0,
245,Cẩm thạch - Thạch anh siêu cấp,214,127,0,0,1,66,0,1,0,
246,Topaz - Cẩm thạch siêu cấp,215,128,0,0,1,66,0,2,0,
247,Topaz - Ruby siêu cấp,216,129,0,0,1,66,0,2,0,
248,Topaz - Ngọc siêu cấp,217,130,0,0,1,66,0,2,0,
249,Topaz - Saphia siêu cấp,218,131,0,0,1,66,0,2,0,
250,Topaz - Thạch Anh siêu cấp,219,132,0,0,1,66,0,2,0,
251,Ruby - Cẩm thạch siêu cấp,220,133,0,0,1,66,0,3,0,
252,Ruby - Topaz siêu cấp,221,134,0,0,1,66,0,3,0,
253,Ruby - Ngọc siêu cấp,222,135,0,0,1,66,0,3,0,
254,Ruby - Saphia siêu cấp,223,136,0,0,1,66,0,3,0,
255,Ruby - Thạch anh siêu cấp,224,137,0,0,1,66,0,3,0,
256,Ngọc - Cẩm thạch siêu cấp,225,138,0,0,1,66,0,3,0,
257,Ngọc - Topaz siêu cấp,226,139,0,0,1,66,0,3,0,
258,Ngọc - Ruby siêu cấp,227,140,0,0,1,66,0,3,0,
259,Ngọc - Saphia siêu cấp,228,141,0,0,1,66,0,3,0,
260,Ngọc - Thạch anh siêu cấp,229,142,0,0,1,66,0,3,0,
261,Saphia - Cẩm thạch siêu cấp,230,143,0,0,1,66,0,1,0,
262,Saphia - Topaz siêu cấp,231,144,0,0,1,66,0,1,0,
263,Saphia - Ruby siêu cấp,232,145,0,0,1,66,0,1,0,
264,Saphia - Ngọc siêu cấp,233,146,0,0,1,66,0,1,0,
265,Saphia - Thạch anh siêu cấp,234,147,0,0,1,66,0,1,0,
266,Thạch anh - Cẩm thạch siêu cấp,235,148,0,0,1,66,0,3,0,
267,Thạch anh - Topaz siêu cấp,236,149,0,0,1,66,0,3,0,
268,Thạch anh - Ruby siêu cấp,237,150,0,0,1,66,0,3,0,
269,Thạch anh - Ngọc siêu cấp,238,151,0,0,1,66,0,3,0,
270,Thạch anh - Saphia siêu cấp,239,152,0,0,1,66,0,3,0,
271,Thẻ đổi tên,204,155,0,200,1,67,0,0,0,Sử dụng
272,100 cẩm thạch cấp 3,205,156,0,500,1,68,0,0,100,
273,100 đá topaz cấp 3,206,156,0,500,1,68,0,0,100,
274,100 tinh thể ruby cấp 3,207,156,0,500,1,68,0,0,100,
275,100 ngọc lục bảo cấp 3,208,156,0,500,1,68,0,0,100,
276,100 đá saphia cấp 3,209,156,0,500,1,68,0,0,100,
277,100 thạch anh tím cấp 3,240,156,0,500,1,68,0,0,100,
278,Huy hiệu đỏ,241,157,0,0,1,41,0,0,0,
279,Huy hiệu vàng,242,157,0,0,1,41,0,0,0,
280,Huy hiệu lam,243,157,0,0,1,41,0,0,0,
281,Huy hiệu trắng,244,157,0,0,1,41,0,0,0,
282,Huy hiệu lục,245,157,0,0,1,41,0,0,0,
283,Huy hiệu cầu vòng,246,157,0,0,1,41,0,0,0,
284,Chìa khóa sắc màu,247,158,0,0,1,69,0,0,0,
285,Rương sắc màu,248,159,0,0,1,70,0,0,0,Sử dụng
286,Rương và khóa sắc màu,250,160,0,0,1,71,0,0,0,Sử dụng
287,Thời trang Râu Trắng,251,343,0,0,1,72,0,0,0,
288,Dự đoán Nga,252,162,0,0,1,73,0,0,0,Sử dụng
289,Dự đoán Uruguay,252,162,0,0,1,73,0,0,0,Sử dụng
290,Dự đoán Bồ Đào Nha,252,162,0,0,1,73,0,0,0,Sử dụng
291,Dự đoán Tây Ban Nha,252,162,0,0,1,73,0,0,0,Sử dụng
292,Dự đoán Pháp,252,162,0,0,1,73,0,0,0,Sử dụng
293,Dự đoán Đan Mạch,252,162,0,0,1,73,0,0,0,Sử dụng
294,Dự đoán Argentina,252,162,0,0,1,73,0,0,0,Sử dụng
295,Dự đoán Croatia,252,162,0,0,1,73,0,0,0,Sử dụng
296,Dự đoán Brasil,252,162,0,0,1,73,0,0,0,Sử dụng
297,Dự đoán Thụy Sĩ,252,162,0,0,1,73,0,0,0,Sử dụng
298,Dự đoán Đức,252,162,0,0,1,73,0,0,0,Sử dụng
299,Dự đoán Mexico,252,162,0,0,1,73,0,0,0,Sử dụng
300,Dự đoán Anh,252,162,0,0,1,73,0,0,0,Sử dụng
301,Dự đoán Bỉ,252,162,0,0,1,73,0,0,0,Sử dụng
302,Dự đoán Nhật Bản,252,162,0,0,1,73,0,0,0,Sử dụng
303,Dự đoán Colombia,252,162,0,0,1,73,0,0,0,Sử dụng
304,Mảnh trang phục 9x trắng,262,163,0,0,1,74,0,0,0,Sử dụng
305,Mảnh trang sức 9x trắng,263,164,0,0,1,74,0,1,0,Sử dụng
306,Mảnh vũ khí 9x trắng,264,165,0,0,1,74,0,2,0,Sử dụng
307,Mảnh trang phục 9x xanh,259,163,0,0,1,74,0,0,0,Sử dụng
308,Mảnh trang sức 9x xanh,260,164,0,0,1,74,0,1,0,Sử dụng
309,Mảnh vũ khí 9x xanh,261,165,0,0,1,74,0,2,0,Sử dụng
310,Mảnh trang phục 9x tím,256,163,0,0,1,74,0,0,0,Sử dụng
311,Mảnh trang sức 9x tím,257,164,0,0,1,74,0,1,0,Sử dụng
312,Mảnh vũ khí 9x tím,258,165,0,0,1,74,0,2,0,Sử dụng
313,Mảnh trang phục 9x cam,253,163,0,0,1,74,0,0,0,Sử dụng
314,Mảnh trang sức 9x cam,254,164,0,0,1,74,0,1,0,Sử dụng
315,Mảnh vũ khí 9x cam,255,165,0,0,1,74,0,2,0,Sử dụng
316,Trái sáp,265,10,0,0,1,7,0,0,0,Ăn
317,Trái dao,266,10,0,0,1,7,0,0,0,Ăn
318,Trái kilo,267,10,0,0,1,7,0,0,0,Ăn
319,Điểm 10,273,166,0,0,1,75,0,0,0,
320,Quà khai giảng,274,166,0,0,1,76,0,0,0,Mở
321,6 đá khảm,275,167,0,0,1,77,0,0,0,Sử dụng
322,Trái ác quỷ trung - sơ,276,168,0,0,1,78,0,0,0,Sử dụng
323,Búa siêu cấp,277,169,0,0,1,79,0,0,0,
324,Đá khảm vô cực,279,171,0,0,1,80,0,4,0,
325,Đá khảm siêu cấp S,278,170,0,0,1,80,0,4,0,
326,Đá khảm vô cực S,280,172,0,0,1,80,0,4,0,
327,Đá khảm ngẩu nhiên,281,173,0,0,1,81,0,0,0,Sử dụng
328,Đèn ngôi sao,105,213,0,0,0,82,0,0,0,Sử dụng
329,Đèn cá chép,282,214,0,0,0,82,0,0,0,Sử dụng
330,Đèn bươm bướm,283,215,0,0,0,82,0,0,0,Sử dụng
331,Hộp nguyên liệu,284,175,0,0,1,83,0,0,0,Sử dụng
332,Đèn trời,285,176,0,200,1,84,5000,0,0,Sử dụng
333,XP Skill,286,0,0,0,1,0,0,0,0,
334,Rumble trắng,287,177,0,0,1,85,2000,1000,0,Sử dụng
335,Rumble lục,288,178,0,0,1,85,2000,2000,0,Sử dụng
336,Rumble tím,289,179,0,0,1,85,2000,3000,0,Sử dụng
337,Rumble cam,290,180,0,0,1,85,2000,5000,0,Sử dụng
338,Rumble đỏ,291,181,0,0,1,85,2000,10000,0,Sử dụng
339,Búa sơ cấp,292,182,0,0,1,86,2000,0,0,Sử dụng
340,Thiệp giáng sinh,293,267,0,0,0,87,0,0,0,
341,Nắm tuyết,294,183,0,0,0,87,0,0,0,
342,Cúc áo,295,183,0,0,0,87,0,0,0,
343,Cuộn len,296,183,0,0,0,87,0,0,0,
344,Cà rốt,297,183,0,0,0,87,0,0,0,
345,Thiệp năm mới,298,183,0,0,0,87,0,0,0,
346,Nhánh cây,299,183,0,0,0,87,0,0,0,
347,Nón giáng sinh,300,267,0,0,0,87,0,0,0,
348,Triệu hồi tuyết nhỏ,301,184,0,0,0,88,0,0,0,Sử dụng
349,Túi beri,302,185,0,0,0,89,0,30000,0,Sử dụng
350,Bánh chưng,304,186,0,0,0,92,0,0,0,Ăn
351,Lá dong,305,186,0,0,0,90,0,0,0,
352,Đậu xanh,155,186,0,0,0,90,0,0,0,
353,Gạo nếp,306,186,0,0,0,90,0,0,0,
354,Thịt heo,160,186,0,0,0,90,0,0,0,
355,Rương nguyên liệu tết,307,186,0,0,0,91,0,0,0,Mở
356,Hộp trang phục,308,187,0,0,0,93,0,0,0,Mở
357,Bao lì xì Canh Tý,303,188,0,0,0,94,0,0,0,Mở
358,Thời trang tết 30 ngày,309,189,0,0,0,95,0,0,0,Sử dụng
359,Phóa hoa,310,190,0,0,0,100,0,0,0,Đốt
360,Vé tặng 10 ruby,311,191,0,0,0,101,0,0,0,
361,Vé đổi hàng,312,192,0,5,0,102,0,0,0,
362,Hổ phách cấp 1,313,193,0,0,1,12,0,1,0,
363,Hổ phách cấp 2,314,194,0,0,1,12,0,1,0,
364,Hổ phách cấp 3,315,195,0,0,1,12,0,1,0,
365,Hổ phách cấp 4,316,196,0,0,1,12,0,1,0,
366,Hổ phách cấp 5,317,197,0,0,1,12,0,1,0,
367,Hổ phách cấp 6,318,198,0,0,1,12,0,1,0,
368,Hổ phách - Cẩm thạch siêu cấp,319,199,0,0,1,66,0,1,0,
369,Hổ phách - Topaz siêu cấp,320,200,0,0,1,66,0,1,0,
370,Hổ phách - Ruby siêu cấp,321,201,0,0,1,66,0,1,0,
371,Hổ phách - Ngọc siêu cấp,322,202,0,0,1,66,0,1,0,
372,Hổ phách - Saphia siêu cấp,323,203,0,0,1,66,0,1,0,
373,Hổ phách - Thạch anh siêu cấp,324,204,0,0,1,66,0,1,0,
374,Huy hiệu voi,325,205,0,0,0,103,0,0,0,
375,Huy hiệu gà,326,205,0,0,0,103,0,0,0,
376,Huy hiệu ngựa,327,205,0,0,0,103,0,0,0,
377,Vé săn quà,328,205,0,0,0,104,0,0,0,
